codigo_tuss;registro_anvisa
90005007;1057300760311
90005015;1057300760328
90005023;1057300760352
90005031;1057300760107
90005040;1057300760298
90005058;1057300760271
90005066;1057303740042
90005082;1057303750048
90005104;1057303750013
90005139;1057302820018
90005155;1057302820050
90005163;1057302820131
90005201;1057303800037
90005210;1057303800061
90005236;1057302180019
90005244;1057302180027
90005260;1057302590020
90005279;1057303300085
90005287;1057303300107
90005295;1057303300018
90005309;1057303300050
90005317;1057303300026
90005325;1057303300034
90005333;1057303300069
90005341;1057303300042
90005368;1057303440022
90005376;1057303880022
90005384;1057303880073
90005392;1057303880121
90005422;1057301520045
90005430;1057301520010
90005449;1057301520029
90005457;1057303520107
90005473;1057300500024
90005503;1057303640021
90005511;1057303640031
90005520;1057303640056
90005538;1057303640064
90005546;1057300550048
90005554;1057300550056
90005589;1057303390017
90005597;1057303390122
90005600;1057303870191
90005619;1057303870051
90005627;1057303870124
90005660;1057303310021
90005678;1057303940041
90005686;1057300800036
90005694;1057300800028
90005708;1057300800044
90005716;1057300880218
90005724;1553800010025
90005732;1553800010017
90005740;1553800020012
90006178;1304500080019
90006186;1304500080043
90006224;1014700460018
90006240;1014700460077
90006259;1014700460069
90006267;1014701420028
90006275;1014701420011
90006283;1014701420052
90006305;1014701420087
90006313;1014700490014
90006321;1014701060013
90006330;1014700910048
90006348;1014700910021
90006356;1014700410029
90006364;1014700410010
90006372;1014701640028
90006380;1014701640011
90006399;1014700630096
90006402;1014700630088
90006410;1014700450012
90006429;1014700450039
90006445;1014701310011
90006453;1014701260012
90006461;1014700780012
90006470;1014701620019
90006488;1014701620027
90006496;1014700960029
90006500;1014700960010
90006550;1014701720013
90006569;1014700620023
90006577;1014700610011
90006585;1014700830011
90006593;1014700590019
90006607;1014700130018
90006623;1014701740030
90006640;1014701530044
90006658;1014701530060
90006666;1014701530011
90006674;1014701530028
90006682;1014701710026
90006690;1014701710034
90006704;1014701710042
90006712;1014700690013
90006720;1014700690021
90006739;1014701610013
90006747;1014701770037
90006771;1014700310029
90006780;1014701550029
90006798;1014701550037
90006801;1014701550053
90006810;1014701550061
90006836;1014701570038
90006844;1014701570021
90006852;1014701570011
90006860;1014701660010
90006887;1014700420016
90006895;1014700270015
90006909;1014701760015
90006917;1014701110010
90006925;1014701110096
90006933;1014701110101
90006941;1014700040027
90006950;1014700060018
90006968;1014700060042
90006976;1014700060052
90006984;1014701460046
90006992;1014701430031
90007000;1014701630022
90007018;1014701630014
90007026;1014701600077
90007050;1014700900018
90007069;1014701470017
90007077;1014701580017
90007107;1014701590020
90007115;1014701750011
90007123;1014701750028
90007131;1556200120029
90007182;1556200320028
90007239;1556200320079
90007310;1556200230045
90007328;1556200230071
90007360;1556200220015
90007441;1556200280018
90007549;1556200290013
90007646;1556200300027
90007670;1556200250011
90007697;1556200250038
90007760;1556200260076
90007964;1556200260041
90008081;1556200140054
90008090;1556200140046
90008103;1556200140021
90008111;1556200140062
90008138;1556200140070
90008146;1556200140119
90008162;1556200140089
90008170;1556200140127
90008219;1556200080027
90008243;1556200130040
90008251;1556200130024
90008260;1556200130059
90008294;1556200060034
90008332;1556200030070
90008375;1556200040025
90008391;1556200010053
90008413;1556200010061
90008430;1556200070021
90008480;1556200090057
90008529;1556200110058
90008588;1556200190086
90008596;1556200190078
90008600;1556200190094
90008634;1556200190035
90008642;1556200190027
90008650;1556200190043
90008677;1556200310014
90008685;1556200270012
90008693;1556200270039
90008731;1556200270063
90008782;1556200100011
90008804;1556200050039
90008820;1556200050055
90008847;1011805920014
90008855;1011805920022
90008863;1011806040018
90008871;1011806040026
90009037;1011801090041
90009061;1011801390010
90009118;1011806120046
90009126;1011806120011
90009150;1011801300097
90009169;1011801300021
90009177;1011806010011
90009185;1011806010021
90009193;1011806010038
90009215;1011801410011
90009258;1011801460116
90009266;1011801460027
90009274;1011801460086
90009282;1011801460035
90009347;1011800880014
90009363;1011801570094
90009398;1011805960032
90009410;1011801570086
90009436;1011801490082
90009444;1011801490066
90009452;1011801490112
90009460;1011801490104
90009479;1011801490090
90009487;1011801490031
90009541;1011801280010
90009550;1011801280045
90009568;1011805930109
90009584;1011805930095
90009592;1011801650063
90009606;1011801650101
90009649;1011801290075
90009665;1011801290083
90009690;1011806110091
90009720;1011806110075
90009754;1011806110032
90009789;1011806110016
90009800;1011801350027
90009819;1011801350043
90009827;1011801350019
90009851;1011800210022
90009886;1011801640033
90009894;1011801640017
90009908;1011801310068
90009940;1011801310092
90009983;1011801080038
90010000;1011801080011
90010019;1011801080021
90010027;1011801080143
90010035;1011801620067
90010060;1011801400040
90010078;1011801230013
90010086;1011801230137
90010108;1011801230145
90010116;1011805990020
90010140;1011801200025
90011554;1049201830076
90011600;1049201830025
90011635;1049201890028
90011775;1049201620012
90011783;1049201620055
90011791;1049201860064
90011805;1049201860161
90011821;1049201860102
90011830;1049201860021
90011848;1049201860129
90011856;1049201860048
90011864;1049201860145
90011910;1049201520018
90011929;1049201520026
90011937;1049201940033
90011945;1049201940051
90011953;1049201940068
90012038;1049201930038
90012046;1049201930054
90012054;1049201930062
90012089;1049201610025
90012097;1049201730047
90012127;1049201730039
90012135;1049201810059
90012151;1049201810032
90012437;1049201920083
90012445;1049201920131
90012453;1049201920024
90012461;1049201920032
90012470;1049201770030
90012488;1049201770049
90012500;1049201710021
90012518;1049201710046
90012593;1049201440081
90012607;1049201440022
90012615;1049201440065
90012712;1049201850050
90012909;1049201780036
90012925;1049201780060
90012941;1049201780079
90012968;1049201780109
90012984;1049201780117
90013077;1049201600021
90013085;1049201600011
90013344;1376401200013
90013352;1376401170017
90013360;1376401170025
90013387;1376400400043
90013654;1376400260543
90013751;1376401070012
90013875;1376400560059
90013905;1376400290043
90013999;1376401190018
90014006;1376401190026
90014049;1376401150016
90014057;1376401140010
90014219;1376400280013
90014499;1376401220014
90014502;1376401220022
90014510;1376400840027
90014537;1376400840035
90014561;1376400840019
90014740;1771700010032
90014766;1771700010016
90014782;1771700020089
90014804;1771700020100
90014847;1771700020021
90014863;1771700020046
90015363;1161800630010
90015371;1161800950058
90015380;1161800950066
90015428;1161800950041
90015436;1161800950031
90015452;1161802350023
90015479;1161802350041
90015487;1161800830117
90015495;1161800830125
90015509;1161800830011
90015517;1161800830028
90015525;1161800030056
90015533;1161800030080
90015550;1161800700078
90015568;1161801030076
90015576;1161801030092
90015584;1161802380021
90015592;1161802380038
90015606;1161802380046
90015614;1161800910013
90015622;1161800910031
90015630;1161800620015
90015649;1161802000022
90015657;1161802000014
90015673;1161802000073
90015681;1161802000121
90015703;1161802000170
90015711;1161802000189
90015819;1161800970024
90015835;1161801140017
90015843;1161800130026
90015851;1161800190010
90015860;1161800190029
90015878;1161800190037
90015886;1161802360010
90015894;1161800750318
90015908;1161800750326
90015916;1161800750229
90015924;1161800750271
90015959;1161800560063
90015967;1161800560047
90015975;1161800560111
90015983;1161800560098
90016041;1161801050042
90016050;1161801050034
90016068;1161801050026
90016076;1161801050123
90016084;1161801050115
90016092;1161801050107
90016106;1161802090021
90016114;1161800360013
90016122;1161800360031
90016157;1161800760054
90016165;1161800760046
90016173;1161800760070
90016181;1161800760062
90016211;1161800710014
90016238;1161800710030
90016254;1161800720028
90016262;1161800770114
90016289;1161800770068
90016297;1161800770084
90016300;1161800770130
90016319;1161800770017
90016327;1161802320043
90016343;1161802320061
90016360;1161802320019
90016386;1161802320078
90016408;1161802320132
90016424;1161802320159
90016432;1161802320167
90016483;1161802320094
90016491;1161802320108
90016513;1161800740126
90016521;1161800740088
90016530;1161800740096
90016548;1161801060072
90016556;1161801060013
90016564;1161801060048
90016572;1161800270081
90016580;1161800270073
90016599;1161800380014
90016602;1161800380030
90016645;1161802340011
90016653;1161802340028
90016661;1161801980023
90016670;1161801980015
90016696;1161801980074
90016777;1161800410363
90016785;1161800410401
90016793;1161800410320
90016807;1161800430011
90016815;1161800430021
90016955;1186100550060
90016963;1186100550087
90017056;1186100220036
90017064;1186100220028
90017080;1186100100017
90017099;1186100100103
90017129;1186102250145
90017137;1186102580137
90017170;1186102540038
90017188;1186102540054
90017200;1186101260015
90017218;1186101260023
90017226;1186101260031
90017234;1186102670081
90017269;1186102670128
90017307;1186102670047
90017315;1186100560066
90017323;1186100560163
90017331;1186100560155
90017366;1186100560181
90017412;1186100280020
90017480;1186100380165
90017528;1186100420116
90017544;1186100420043
90017684;1186100370097
90017692;1186100370038
90017706;1186100370046
90017749;1186100260054
90017773;1186100490343
90017838;1186100430030
90017846;1186100430049
90017854;1516700230010
90017889;1516700190027
90017900;1516700190043
90017927;1516700220015
90017943;1516700220031
90018036;1516700320028
90018052;1516700320044
90018133;1516700290048
90018150;1516700290021
90018176;1516700180031
90018206;1516700360021
90018222;1516700260017
90018230;1516700370017
90018257;1516700200030
90018273;1516700200022
90018290;1516700080035
90018338;1516700060050
90018370;1516700030038
90018419;1516700050063
90018478;1516700100036
90018516;1516700090103
90018575;1516700130016
90018621;1516700140046
90018648;1516700140054
90018710;1516700070099
90018745;1516700150017
90018761;1516700150033
90018800;1516700350032
90018826;1516700270012
90018842;1516700300019
90018850;1516700250021
90018877;1516700250011
90018915;1516700170034
90018931;1516700240016
90018940;1516700240024
90019520;1068300780065
90019601;1068300840033
90019628;1068300700320
90019636;1068300700339
90019644;1068300700355
90019652;1068300700312
90019660;1068300700282
90019679;1068300700290
90019687;1068300700304
90019709;1068300670057
90019717;1068300670049
90019725;1068300850039
90019784;1068301170066
90019822;1068300690201
90019830;1068300690171
90019849;1068300690155
90019865;1068300690181
90019873;1068300690198
90019881;1068300690074
90019890;1068301670018
90019911;1068300640093
90019920;1068300640020
90019938;1068300640147
90019946;1068300640204
90019954;1068300640281
90019962;1068300640425
90019970;1068300640301
90019989;1068300640417
90019997;1068300640352
90020006;1068300640107
90020014;1068300640034
90020022;1068300640492
90020030;1068300640212
90020057;1068300640441
90020065;1068300640069
90020073;1068300640012
90020081;1068300640181
90020090;1068300640220
90020111;1068300640468
90020120;1068300640409
90020138;1068300640451
90020243;1068301720015
90020251;1068301720023
90020294;1068301680031
90020308;1068301680021
90020340;1068301710028
90020359;1068301710036
90020367;1068301710011
90020430;1068301130013
90020510;1068300900036
90020529;1068301150022
90020537;1068301700014
90020545;1068301700022
90020553;1068301700030
90020561;1068301570013
90020618;1068301570068
90020626;1068301570077
90020677;1068301020031
90020693;1068300980110
90020723;1068301660020
90020740;1068300760031
90020766;1068300660167
90020863;1068300910015
90020898;1068301190032
90020928;1705600390013
90020952;1705600050018
90020960;1705600440010
90020979;1705600030025
90021002;1705600370020
90021010;1705600370063
90021029;1705600370071
90021169;1705600470025
90021177;1705600470084
90021215;1705600430015
90021223;1705600070019
90021231;1705600070061
90021240;1705600490026
90021258;1705600490018
90021266;1705600480063
90021274;1705600480081
90021282;1705600480071
90021290;1705600480055
90021789;1705600340245
90021797;1705600340253
90021819;1705600340271
90021827;1705600340288
90022033;1697700010013
90022041;1697700020035
90022050;1697700020019
90022068;1697700020027
90022076;1034600070131
90022084;1034600070123
90022092;1034600070115
90022106;1034600070107
90022122;1034600030253
90022149;1034600030180
90022157;1034600030172
90022181;1034600030229
90022190;1034600030164
90022238;1034600050181
90022246;1034600050173
90022254;1034600050165
90022262;1034600050157
90022270;1034600050149
90022289;1034600050130
90022297;1034600050122
90022300;1034600110036
90022360;1034600130061
90022378;1034600130053
90022386;1034600130045
90022394;1034600140032
90022408;1057100880011
90022416;1057100880036
90022424;1057100820025
90022432;1057100820017
90022440;1057101300033
90022475;1057101200012
90022483;1057101200020
90022505;1057100320018
90022521;1057100930033
90022530;1057101070011
90022548;1057101070021
90022580;1057100940012
90022599;1057100340023
90022610;1057101150058
90022629;1057101150082
90022645;1057100190065
90022653;1057100190072
90022661;1057100190049
90022670;1057100190057
90022688;1057100810011
90022696;1057100810038
90022718;1057100970019
90022726;1057100970027
90022742;1057100380025
90022750;1057100060071
90022777;1057101250011
90022785;1057101030036
90022815;1057100890023
90022823;1057100890031
90022831;1057100890015
90022840;1057100840034
90022858;1057100840042
90022874;1057100870014
90022882;1057100990011
90022904;1057101230019
90022912;1057101410017
90022920;1057101400011
90022939;1057100120010
90022947;1057100120036
90022955;1057100120044
90023005;1057100830081
90023013;1057100830098
90023021;1057100830128
90023030;1057100830136
90023099;1057101340019
90023102;1057101340035
90023110;1057100910016
90023129;1057100910024
90023137;1057100910040
90023145;1057100350010
90023161;1057100860035
90023170;1057100860027
90023188;1057100400012
90023196;1057101100018
90023200;1057101360036
90023218;1057101360087
90023226;1057100960048
90023234;1057100960064
90023242;1057100960021
90023250;1057100420016
90023269;1057100040070
90023277;1057100040089
90023307;1057101220072
90023315;1057101160029
90023323;1057100850021
90023331;1057100850013
90024931;1699300010020
90024940;1699300020018
90024958;1097401000085
90024966;1097401000026
90024974;1097401000050
90024982;1097400920059
90024990;1097400920075
90025008;1097400920091
90025199;1097401210411
90025210;1097401210111
90025300;1097401210209
90025342;1097401210160
90025369;1097401210020
90025377;1097401210055
90025423;1097401210251
90025431;1097401210268
90025440;1097401400059
90025466;1097401400202
90025482;1097401400024
90025504;1097401400172
90025512;1097401400180
90025636;1097400820011
90025733;1097401740054
90025750;1097401740021
90025784;1097401320020
90025792;1097400910029
90025806;1097400910096
90025849;1097400080012
90025903;1097401080011
90026004;1097401480028
90026012;1097401950024
90026020;1097401490120
90026047;1097401490023
90026055;1097401470022
90026063;1097401470057
90026071;1097401490074
90026080;1097402000046
90026110;1097401990034
90026136;1097401900035
90026187;1097401550034
90026225;1097401550131
90026233;1097400460023
90026268;1097401690014
90026276;1097401690030
90026349;1097401390215
90026357;1097401390071
90026365;1097401390101
90026411;1097401240027
90026454;1097401870020
90026497;1097400610017
90026500;1097400440014
90026519;1097401620040
90026527;1097401620024
90026543;1097401460061
90026551;1097401460132
90026560;1097401460078
90026578;1097401460140
90026586;1097401460027
90026594;1097401460116
90026608;1097401460035
90026616;1097401460124
90026730;1097401150011
90026748;1097401150028
90027060;1097400960026
90027078;1097401160082
90027086;1097401160074
90027094;1097401160023
90027124;1097400860013
90027345;1097402110038
90027388;1097402110062
90027558;1097401650144
90027582;1097401290016
90027604;1097401290024
90027655;1097401010013
90027663;1097401750041
90027701;1097401960011
90027728;1097401960038
90027744;1097400890028
90027841;1097400740131
90027850;1097400740050
90027876;1097400740107
90027892;1097400740123
90027914;1097400740018
90027922;1097400740085
90027930;1097400740077
90028040;1097401450021
90028074;1097401450056
90028104;1097401450080
90028457;1097400130015
90028490;1348900090056
90028503;1348900090064
90028511;1348900090048
90028660;1097401360014
90028678;1097401760020
90028686;1097401760012
90028694;1097401170010
90028708;1097401420025
90028716;1097401420017
90028724;1097401930031
90028732;1097401930023
90028759;1097401280010
90028821;1097400560085
90028830;1097400560095
90028848;1097400560125
90028902;1097400840160
90028910;1097400840098
90028945;1097400840055
90028953;1097400840081
90029003;1097402070044
90029020;1097402070125
90029089;1097401100098
90029119;1097401100063
90029127;1097401100047
90029135;1097401100012
90029160;1097401940010
90029178;1097401940037
90029267;1097402160078
90029275;1097402160086
90029291;1097402150013
90029828;1163700490019
90029917;1163700590358
90029925;1163700590315
90029976;1163700591151
90029984;1163700591117
90030052;1163700590250
90030079;1163700591303
90030087;1163700591265
90030168;1163700590811
90030257;1163700590307
90030265;1163700590269
90030362;1163700400036
90030621;1163700140034
90030630;1163700140042
90030648;1163700140026
90030664;1163700520031
90030680;1163700520041
90030699;1163700680012
90030702;1163700680020
90030710;1163700390030
90030729;1163700390073
90030737;1163700390014
90030753;1163700710061
90030761;1163700710078
90030770;1163700710086
90030788;1163700710094
90030800;1163700710019
90030818;1163700710027
90030826;1163700710035
90030834;1163700710043
90030842;1163700710051
90030850;1163700360034
90031032;1163700241140
90031083;1163700240081
90031091;1163700240047
90031113;1163700240691
90031121;1163700240438
90031130;1163700240391
90031156;1163700240497
90031164;1163700240187
90031172;1163700240144
90031245;1163700240640
90031253;1163700240543
90031261;1163700240330
90031270;1163700240292
90031326;1163700240780
90031334;1163700240748
90031407;1163700350039
90031423;1163700580018
90031547;1163700580050
90031563;1163700580166
90031610;1163700370013
90031660;1163700690050
90031679;1163700690026
90031687;1163700440100
90031695;1163700440046
90031741;1163700440054
90031776;1163700440070
90031989;1163700700031
90032012;1163700330062
90032055;1163700620011
90032136;1163700720030
90032179;1163700410041
90032187;1163700410074
90032195;1163700560017
90032225;1163700460047
90032276;1163700300031
90032284;1163700270049
90032292;1163700270048
90032306;1163700270078
90032314;1163700270050
90032322;1163700270027
90032330;1163700270019
90032489;1163700250026
90032497;1196100050014
90032500;1196100060011
90032527;1196100120020
90032535;1196100100038
90032543;1196100070015
90032560;1196100040019
90032578;1196100160022
90032586;1036700490023
90032608;1036700580049
90032616;1036700580014
90032624;1036700580057
90032632;1036700040028
90032659;1036700040141
90032691;1036700060274
90032721;1036700060069
90032730;1036700960062
90032748;1036700960041
90032756;1036700140022
90032764;1036700140014
90032772;1036700140121
90032780;1036700130213
90032799;1036700130030
90032802;1036700130146
90032837;1036700620210
90032853;1036700620229
90032861;1036700620253
90032870;1036700620261
90032888;1036700620245
90032896;1036700620237
90032969;1036701620036
90032977;1036701620028
90033000;1036700830029
90033019;1036700830136
90033027;1036700830061
90033035;1036700830118
90033043;1036701330021
90033051;1036701330038
90033108;1036701340017
90033124;1036701340033
90033167;1036701020047
90033175;1036701020055
90033191;1036700850011
90033213;1036700300070
90033256;1036701600051
90033264;1036701600061
90033272;1036701600019
90033280;1036701600027
90033329;1036701050051
90033337;1036701070011
90033345;1036701070036
90033353;1036701070117
90033361;1036701070125
90033388;1036701070141
90033400;1036701070168
90033418;1036701070052
90033434;1036701070184
90033493;1036701370072
90033639;1558400020040
90033710;1558400430060
90033728;1558400430036
90033736;1558400280018
90033744;1558400280026
90033795;1558400300035
90033833;1558400520019
90033884;1558400060034
90034031;1558400380012
90034147;1558400420022
90034155;1558400090014
90034520;1003800690036
90034597;1003800380010
90034872;1018002790058
90034899;1018002790082
90034961;1018003770018
90034970;1018003770034
90035100;1018001080154
90035151;1018001040018
90035160;1018001040026
90035194;1018002800088
90035208;1018002800101
90035216;1018002800126
90035259;1018000930014
90035283;1018001190022
90035380;1018002530031
90035402;1018001420033
90035445;1018001220010
90035542;1018000840015
90035550;1018000840031
90035569;1018003960011
90035577;1018003960038
90035585;1018003960046
90035593;1018003900019
90035666;1018001090028
90035674;1018003010031
90035682;1018003010099
90035712;1018001280080
90035720;1018001280056
90035739;1018003920036
90035747;1018003920060
90035780;1018001510035
90035801;1018001510019
90035844;1018001350046
90035879;1018001370048
90036875;1057701270011
90037588;1640000040013
90037596;1640000030018
90037600;1640000020012
90037618;1640000020020
90037626;1640000060014
90037669;1071500660012
90037677;1071500660020
90037685;1071500150030
90037707;1071501120038
90037715;1071501120011
90037723;1071501120021
90037740;1071501610019
90037758;1071501610027
90037855;1071500680013
90037863;1071500680021
90037880;1071500670034
90037898;1071501150026
90037936;1071500390023
90037952;1071500160036
90038029;1071500310011
90038037;1071500310021
90038045;1071500310038
90038142;1071501480018
90038150;1071501480042
90038177;1071500950010
90038185;1071501450011
90038215;1071500750021
90038240;1071500180088
90038258;1071500180096
90038304;1071501530112
90038371;1071501900021
90038398;1071501710021
90038401;1071501710013
90038622;1071501100010
90038630;1071500130018
90038649;1071500140030
90038657;1071500630016
90038673;1071500960024
90038720;1071500590014
90038738;1071500590022
90038770;1071500760051
90038789;1071500760017
90038797;1071500760025
90038835;1071501700018
90038878;1071500300059
90038886;1071500300030
90038894;1071500300040
90038908;1071500300022
90038967;1071500220021
90038975;1071501060010
90038983;1071501520044
90038991;1071501520028
90039009;1071501520011
90039025;1071500460018
90039033;1071500460026
90039041;1071501010011
90039084;1071501360012
90039092;1071501360039
90039106;1071501360020
90039130;1071500890035
90039157;1071501790017
90039165;1071501790025
90039254;1493200020022
90039262;1493200020014
90039297;1493200050029
90039300;1493200050010
90039319;1493200070011
90039327;1493200070021
90039378;1005800010010
90039386;1005801040015
90039491;1005800550066
90039505;1005800550090
90039530;1005801120035
90039599;1005800970019
90039602;1005800970027
90039645;1005800090019
90039670;1005800090094
90039700;1005800090108
90039718;1005800770044
90039750;1005801160037
90039769;1005801160010
90039793;1005801110048
90039823;1005801110072
90039858;1005801110102
90039866;1005801110110
90039882;1005801110013
90039904;1005800670015
90039912;1005800670023
90039947;1005801010019
90039955;1005801140011
90039971;1005801060016
90040040;1005801030036
90040066;1005800890015
90040074;1005800890031
90040082;1005800890023
90040090;1005800890041
90040112;1005800980014
90040120;1005800980022
90040155;1005800270038
90040171;1005801050037
90040228;1005801050088
90040279;1562500020164
90040309;1562500020059
90040350;1562500020083
90040392;1562500020121
90040473;1562500010088
90040520;1562500010126
90040570;1156001650030
90040597;1156000820013
90040600;1156000800012
90040619;1156000360012
90040759;1156000990016
90040767;1156000990024
90040856;1156000940019
90040929;1156000520028
90040937;1156000520011
90040961;1156000850044
90040996;1156000270013
90041046;1156000380021
90041135;1156000080011
90041160;1156000720035
90041216;1156000220083
90041275;1156000960036
90041283;1156000590026
90041291;1156000590034
90041305;1156000590018
90041372;1156000980010
90041380;1156000980029
90041402;1156001110044
90041410;1156001110052
90041429;1156001110060
90041437;1156000480042
90041496;1156000610035
90041500;1156000610116
90041518;1156000610043
90041526;1156000610019
90041712;1156000780046
90041720;1156000490013
90041739;1156000240033
90041801;1156001480011
90041836;1156000150018
90041844;1156000150042
90041860;1156001460010
90041879;1156000830027
90041984;1156000810026
90042000;1156001680053
90042034;1156001580016
90042042;1156001580024
90042182;1156000420031
90042239;1156001610020
90042247;1438101310011
90042255;1438101310021
90042263;1438101450018
90042271;1438100230014
90042280;1438100930016
90042298;1438101040049
90042301;1438101040022
90042310;1438101490011
90042336;1438100480029
90042352;1438101100025
90042360;1438101110020
90042387;1438100160024
90042409;1438100160032
90042433;1438100720046
90042441;1438100720070
90042468;1438100060021
90042484;1438101370022
90042506;1438100610011
90042549;1438100130036
90042557;1438100130117
90042573;1438100130052
90042581;1438101550020
90042590;1438101550039
90042654;1438101130013
90042662;1438100820016
90042670;1438100820032
90042689;1438101050011
90042697;1438100280011
90042719;1438100210048
90042727;1438100210013
90042735;1438100830038
90042743;1438100830011
90042751;1438101090038
90042760;1438101150014
90042794;1438100590010
90042824;1438100590037
90042832;1438101020021
90042840;1438101020031
90042859;1438100890014
90042867;1438100890022
90042875;1438101220055
90042891;1438101400010
90042905;1438101360027
90042913;1438101480014
90042930;1438100880019
90042948;1438101000012
90042956;1438100030015
90042964;1438101170041
90042972;1438101530011
90043049;1438100010014
90043057;1438100710024
90043065;1438100710016
90043073;1438101140019
90043081;1438101140027
90043090;1438100950051
90043138;1438101460013
90043146;1438101460048
90043189;1438100650048
90043200;1438101380011
90043219;1438100920011
90043227;1438100900011
90043235;1438100410020
90043251;1438100990027
90043278;1438101440012
90043286;1438101440047
90043294;1438100040037
90043316;1438100700010
90043332;1438100700029
