registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
80344989022;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989023;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;BRASIL
80344989023;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989024;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;BRASIL
80344989024;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989025;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;BRASIL
80344989025;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989026;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;BRASIL
80344989026;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989027;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;BRASIL
80344989027;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989028;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;BRASIL
80344989028;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989029;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;BRASIL
80344989029;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;YIWU YUANTAI IMPORT AND EXPORT CO., LTD.;CHINA, REPÚBLICA POPULAR
80344989030;II;A.D. DESENVOLVIMENTO INTERNACIONAL LTDA - ME;SUZHOU JH MED-TEC CO., LTD;CHINA, REPÚBLICA POPULAR
10299940009;II;A.DE OLIVEIRA FORTUNA;PLAXTRON INDUSTRIAL (M)SDN BHD;MALÁSIA
10299940012;II;A.DE OLIVEIRA FORTUNA;CHEEN HOUNG ENTERPRISE CO. LTD. / PLAXTRON INDUSTRIAL;MALÁSIA
10299940013;I;A.DE OLIVEIRA FORTUNA;CHEEN HOUNG ENTERPRISE CO. LTD. / PLAXTRON INDUSTRIAL;MALÁSIA
10299940014;II;A.DE OLIVEIRA FORTUNA;HAIYAN KANGYUAN MEDICAL INSTRUMENT CO., LTD;CHINA, REPÚBLICA POPULAR
10299940015;II;A.DE OLIVEIRA FORTUNA;HAIYAN KANGYUAN MEDICAL INSTRUMENT CO., LTD;CHINA, REPÚBLICA POPULAR
10299940016;I;A.DE OLIVEIRA FORTUNA;HANGZHOU FORMED MEDICAL DEVICES CO., LTD;CHINA, REPÚBLICA POPULAR
10299940017;II;A.DE OLIVEIRA FORTUNA;HAIYAN KANGYUAN MEDICAL INSTRUMENT CO., LTD;CHINA, REPÚBLICA POPULAR
10299949001;II;A.DE OLIVEIRA FORTUNA;PLAXTRON INDUSTRIAL (M)SDN BHD;MALÁSIA
10299949002;II;A.DE OLIVEIRA FORTUNA;HANGZHOU FORMED MEDICAL DEVICES CO., LTD;CHINA, REPÚBLICA POPULAR
10299949003;II;A.DE OLIVEIRA FORTUNA;HANGZHOU FORMED MEDICAL DEVICES CO., LTD;CHINA, REPÚBLICA POPULAR
10299949004;II;A.DE OLIVEIRA FORTUNA;HANGZHOU FORMED MEDICAL DEVICES CO., LTD;CHINA, REPÚBLICA POPULAR
10299949005;II;A.DE OLIVEIRA FORTUNA;ANHUI EXPLORATION MEDICAL DEVICES TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
10299949006;II;A.DE OLIVEIRA FORTUNA;ANHUI EXPLORATION MEDICAL DEVICES TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
80809560001;II;A.F.AZEVEDO ME;Wujiang Dinglong Medical Instrument CO. LTD.;CHINA, REPÚBLICA POPULAR
80809560002;II;A.F.AZEVEDO ME;Wujiang Dinglong Medical Instrument CO. LTD.;CHINA, REPÚBLICA POPULAR
80429030012;I;A.L.B. LUZ EPP;A.L.B. LUZ EPP;BRASIL
80429030013;I;A.L.B. LUZ EPP;A.L.B. LUZ EPP;BRASIL
82744059001;II;A3 MEDICAL DISTRIBUIDORA , IMPORTADORA E EXPORTADORA LTDA;EQUIPMED USA LLC;ESTADOS UNIDOS DA AMÉRICA
81902890001;II;AA IMPORTACAO, COMERCIO E DISTRIBUICAO DE MATERIAIS DE BELEZA LTDA;GUANGZHOU LOVBEAUTY BIO-TECH CO., LTD;CHINA, REPÚBLICA POPULAR
81902899001;II;AA IMPORTACAO, COMERCIO E DISTRIBUICAO DE MATERIAIS DE BELEZA LTDA;GUANGZHOU LOVBEAUTY BIO-TECH CO., LTD;CHINA, REPÚBLICA POPULAR
81902899002;II;AA IMPORTACAO, COMERCIO E DISTRIBUICAO DE MATERIAIS DE BELEZA LTDA;GUANGZHOU LOVBEAUTY BIO-TECH CO., LTD;CHINA, REPÚBLICA POPULAR
81902899003;II;AA IMPORTACAO, COMERCIO E DISTRIBUICAO DE MATERIAIS DE BELEZA LTDA;FOSHAN PEIMEI BEAUTY EQUIPMENT CO.,LTD &#8194.;CHINA, REPÚBLICA POPULAR
81902899004;II;AA IMPORTACAO, COMERCIO E DISTRIBUICAO DE MATERIAIS DE BELEZA LTDA;FOSHAN PEIMEI BEAUTY EQUIPMENT CO.,LTD &#8194.;CHINA, REPÚBLICA POPULAR
80432410014;II;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410017;II;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410018;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410020;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410021;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410023;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410024;II;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410025;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410028;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410029;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410031;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410032;II;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410033;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410034;II;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410035;II;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410036;II;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410037;II;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410040;II;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410041;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410042;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410044;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410045;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410046;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410049;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410052;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410053;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410055;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410057;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410058;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410059;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410060;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410063;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410064;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410065;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410066;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410067;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410068;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432410070;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432419001;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432419002;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432419005;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432419006;I;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432419008;II;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432419010;II;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
80432419011;II;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;AAF DO BRASIL PRODUTOS ODONTOLOGICOS LTDA;BRASIL
