registro_anvisa;classe_risco;fabricante_nacional;fabricante_internacional;pais
80882270001;IV;PARTS IMPORT COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;;
80882270001;IV;PARTS IMPORT COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;SHANGHAI DONGYUE MEDICAL HEALTH PRODUCT CO., LTD.;CHINA, REPÚBLICA POPULAR
80882270002;III;PARTS IMPORT COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;;
80882270002;III;PARTS IMPORT COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;SHANGHAI DONGYUE MEDICAL HEALTH PRODUCT CO. , LTD;CHINA, REPÚBLICA POPULAR
80882270003;II;PARTS IMPORT COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;SHANGHAI DONGYUE MEDICAL HEALTH PRODUCT CO. , LTD;CHINA, REPÚBLICA POPULAR
80882279001;II;PARTS IMPORT COMÉRCIO DE IMPORTAÇÃO E EXPORTAÇÃO LTDA.;HANGZHOU TRIFANZ MEDICAL DEVICE CO.LTD.;CHINA, REPÚBLICA POPULAR
81504790011;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;RZ MEDIZINTECHNIK GMBH;ALEMANHA
81504790020;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;RZ MEDIZINTECHNIK GMBH;ALEMANHA
81504790025;II;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;RZ MEDIZINTECHNIK GMBH;ALEMANHA
81504790026;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;RZ MEDIZINTECHNIK GMBH;ALEMANHA
81504790038;II;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;ZHEJIANG CHUANGXIANG MEDICAL TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
81504790039;II;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;ZHEJIANG CHUANGXIANG MEDICAL TECHNOLOGY CO., LTD.;CHINA, REPÚBLICA POPULAR
81504790040;II;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;CHANGZHOU LOOKMED MEDICAL INSTRUMENT CO., LTD.;CHINA, REPÚBLICA POPULAR
81504790041;II;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;CHANGZHOU LOOKMED MEDICAL INSTRUMENT CO., LTD.;CHINA, REPÚBLICA POPULAR
81504790042;II;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;CHANGZHOU LOOKMED MEDICAL INSTRUMENT CO., LTD.;CHINA, REPÚBLICA POPULAR
81504790044;II;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;CHANGZHOU LOOKMED MEDICAL INSTRUMENT CO., LTD.;CHINA, REPÚBLICA POPULAR
81504790057;IV;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;;
81504790057;IV;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;LCA S.A;FRANÇA
81504790059;IV;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;;
81504790059;IV;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;LCA S.A;FRANÇA
81504790061;III;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;;
81504790061;III;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;LCA S.A;FRANÇA
81504790063;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;PERGOMED MEDIKAL VE ILAC SANAYI A. S.;TURQUIA
81504790064;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;TS CO., LTD;CORÉIA DO SUL
81504790065;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;TS CO., LTD;CORÉIA DO SUL
81504790066;II;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;PERGOMED MEDIKAL VE ILAC SANAYI A. S.;TURQUIA
81504790069;II;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;MEDELEC SYSTEMS PVT. LTD.;ÍNDIA
81504790072;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;PASTURE PHARMA PTE LTD;CINGAPURA, REPÚBLICA DA
81504790073;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;PASTURE PHARMA PTE LTD;CINGAPURA, REPÚBLICA DA
81504790074;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;PASTURE PHARMA PTE LTD;CINGAPURA, REPÚBLICA DA
81504790075;II;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;VEOL MEDICAL TECHNOLOGIES PVT. LTD.;ÍNDIA
81504790076;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;PASTURE PHARMA PTE LTD;CINGAPURA, REPÚBLICA DA
81504790085;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;PASTURE PHARMA PTE LTD;CINGAPURA, REPÚBLICA DA
81504790086;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;PASTURE PHARMA PTE LTD;CINGAPURA, REPÚBLICA DA
81504790087;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;PASTURE PHARMA PTE LTD;CINGAPURA, REPÚBLICA DA
81504790088;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;PASTURE PHARMA PTE LTD;CINGAPURA, REPÚBLICA DA
81504790099;I;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;PASTURE PHARMA PTE LTD;CINGAPURA, REPÚBLICA DA
81504790102;II;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;ICARE FINLAND OY/TIOLAT OY;FINLÂNDIA
81504790129;III;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;;
81504790129;III;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;OPTIMED MEDIZINISCHE INSTRUMENTE GMBH;ALEMANHA
81504790130;III;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;;
81504790130;III;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;OPTIMED - MEDIZINISCHE INSTRUMENTE GMBH;ALEMANHA
81504790131;III;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;;
81504790131;III;PASSROD IMPORTAÇÃO E EXPORTAÇÃO DE PRODUTOS PARA SAÚDE LTDA - ME;OPTIMED - MEDIZINISCHE INSTRUMENTE GMBH;ALEMANHA
