dominio;codigo;descricao
dm_CBOSmonitor;223107;
dm_CBOSmonitor;223108;
dm_CBOSmonitor;223109;
dm_CBOSmonitor;223110;
dm_CBOSmonitor;223111;
dm_CBOSmonitor;223112;
dm_CBOSmonitor;223113;
dm_CBOSmonitor;223114;
dm_CBOSmonitor;223115;
dm_CBOSmonitor;223116;
dm_CBOSmonitor;223117;
dm_CBOSmonitor;223118;
dm_CBOSmonitor;223119;
dm_CBOSmonitor;223120;
dm_CBOSmonitor;223121;
dm_CBOSmonitor;223122;
dm_CBOSmonitor;223123;
dm_CBOSmonitor;223124;
dm_CBOSmonitor;223125;
dm_CBOSmonitor;223126;
dm_CBOSmonitor;223127;
dm_CBOSmonitor;223128;
dm_CBOSmonitor;223129;
dm_CBOSmonitor;223130;
dm_CBOSmonitor;223131;
dm_CBOSmonitor;223132;
dm_CBOSmonitor;223133;
dm_CBOSmonitor;223134;
dm_CBOSmonitor;223135;
dm_CBOSmonitor;223136;
dm_CBOSmonitor;223137;
dm_CBOSmonitor;223138;
dm_CBOSmonitor;223139;
dm_CBOSmonitor;223140;
dm_CBOSmonitor;223141;
dm_CBOSmonitor;223142;
dm_CBOSmonitor;223143;
dm_CBOSmonitor;223144;
dm_CBOSmonitor;223145;
dm_CBOSmonitor;223146;
dm_CBOSmonitor;223147;
dm_CBOSmonitor;223148;
dm_CBOSmonitor;223149;
dm_CBOSmonitor;223150;
dm_CBOSmonitor;223151;
dm_CBOSmonitor;223152;
dm_CBOSmonitor;223153;
dm_CBOSmonitor;223154;
dm_CBOSmonitor;223155;
dm_CBOSmonitor;223156;
dm_CBOSmonitor;223157;
dm_CBOSmonitor;2231F3;
dm_CBOSmonitor;2231F4;
dm_CBOSmonitor;2231F5;
dm_CBOSmonitor;2231F6;
dm_CBOSmonitor;2231F7;
dm_CBOSmonitor;2231F8;
dm_CBOSmonitor;2232;
dm_CBOSmonitor;223204;Cirurgião dentista - auditor
dm_CBOSmonitor;223204;Cirurgião dentista - auditor
dm_CBOSmonitor;223208;Cirurgião dentista - clínico geral
dm_CBOSmonitor;223208;Cirurgião dentista - clínico geral
dm_CBOSmonitor;223212;Cirurgião dentista - endodontista
dm_CBOSmonitor;223212;Cirurgião dentista - endodontista
dm_CBOSmonitor;223216;Cirurgião dentista - epidemiologista
dm_CBOSmonitor;223216;Cirurgião dentista - epidemiologista
dm_CBOSmonitor;223220;Cirurgião dentista - estomatologista
dm_CBOSmonitor;223220;Cirurgião dentista - estomatologista
dm_CBOSmonitor;223224;Cirurgião dentista - implantodontista
dm_CBOSmonitor;223224;Cirurgião dentista - implantodontista
dm_CBOSmonitor;223228;Cirurgião dentista - odontogeriatra
dm_CBOSmonitor;223228;Cirurgião dentista - odontogeriatra
dm_CBOSmonitor;223232;Cirurgião dentista - odontologista legal
dm_CBOSmonitor;223232;Cirurgião dentista - odontologista legal
dm_CBOSmonitor;223236;Cirurgião dentista - odontopediatra
dm_CBOSmonitor;223236;Cirurgião dentista - odontopediatra
dm_CBOSmonitor;223240;Cirurgião dentista - ortopedista e ortodontista
dm_CBOSmonitor;223240;Cirurgião dentista - ortopedista e ortodontista
dm_CBOSmonitor;223244;Cirurgião dentista - patologista bucal
dm_CBOSmonitor;223244;Cirurgião dentista - patologista bucal
dm_CBOSmonitor;223248;Cirurgião dentista - periodontista
dm_CBOSmonitor;223248;Cirurgião dentista - periodontista
dm_CBOSmonitor;223252;Cirurgião dentista - protesiólogo bucomaxilofacial
dm_CBOSmonitor;223252;Cirurgião dentista - protesiólogo bucomaxilofacial
dm_CBOSmonitor;223256;Cirurgião dentista - protesista
dm_CBOSmonitor;223256;Cirurgião dentista - protesista
dm_CBOSmonitor;223260;Cirurgião dentista - radiologista
dm_CBOSmonitor;223260;Cirurgião dentista - radiologista
dm_CBOSmonitor;223264;Cirurgião dentista - reabilitador oral
dm_CBOSmonitor;223264;Cirurgião dentista - reabilitador oral
dm_CBOSmonitor;223268;Cirurgião dentista - traumatologista bucomaxilofacial
dm_CBOSmonitor;223268;Cirurgião dentista - traumatologista bucomaxilofacial
dm_CBOSmonitor;223272;Cirurgião dentista de saúde coletiva
dm_CBOSmonitor;223272;Cirurgião dentista de saúde coletiva
dm_CBOSmonitor;223276;Cirurgião dentista - odontologia do trabalho
dm_CBOSmonitor;223280;Cirurgião dentista - dentística
dm_CBOSmonitor;223284;Cirurgião dentista - disfunção temporomandibular e dor orofacial
dm_CBOSmonitor;223288;Cirurgião dentista - odontologia para pacientes com necessidades especiais
dm_CBOSmonitor;223293;Cirurgião-dentista da estratégia de saúde da família
dm_CBOSmonitor;223305;
dm_CBOSmonitor;223405;Farmacêutico
dm_CBOSmonitor;223405;Farmacêutico
dm_CBOSmonitor;223415;Farmacêutico analista clínico
dm_CBOSmonitor;223420;Farmacêutico de alimentos
dm_CBOSmonitor;223425;Farmacêutico práticas integrativas e complementares
dm_CBOSmonitor;223430;Farmacêutico em saúde pública
dm_CBOSmonitor;223435;Farmacêutico industrial
dm_CBOSmonitor;223440;Farmacêutico toxicologista
dm_CBOSmonitor;223445;Farmacêutico hospitalar e clínico
dm_CBOSmonitor;2235;
dm_CBOSmonitor;223505;Enfermeiro
dm_CBOSmonitor;223510;Enfermeiro auditor
dm_CBOSmonitor;223510;Enfermeiro auditor
dm_CBOSmonitor;223515;Enfermeiro de bordo
dm_CBOSmonitor;223515;Enfermeiro de bordo
dm_CBOSmonitor;223520;Enfermeiro de centro cirúrgico
dm_CBOSmonitor;223520;Enfermeiro de centro cirúrgico
dm_CBOSmonitor;223525;Enfermeiro de terapia intensiva
dm_CBOSmonitor;223525;Enfermeiro de terapia intensiva
dm_CBOSmonitor;223530;Enfermeiro do trabalho
dm_CBOSmonitor;223530;Enfermeiro do trabalho
dm_CBOSmonitor;223535;Enfermeiro nefrologista
dm_CBOSmonitor;223535;Enfermeiro nefrologista
dm_CBOSmonitor;223540;Enfermeiro neonatologista
dm_CBOSmonitor;223540;Enfermeiro neonatologista
dm_CBOSmonitor;223545;Enfermeiro obstétrico
dm_CBOSmonitor;223545;Enfermeiro obstétrico
dm_CBOSmonitor;223550;Enfermeiro psiquiátrico
dm_CBOSmonitor;223550;Enfermeiro psiquiátrico
dm_CBOSmonitor;223555;Enfermeiro puericultor e pediátrico
dm_CBOSmonitor;223555;Enfermeiro puericultor e pediátrico
dm_CBOSmonitor;223560;Enfermeiro sanitarista
dm_CBOSmonitor;223560;Enfermeiro sanitarista
dm_CBOSmonitor;223565;Enfermeiro da estratégia de saúde da família
dm_CBOSmonitor;223570;Perfusionista
dm_CBOSmonitor;223575;Obstetriz
dm_CBOSmonitor;2236;
dm_CBOSmonitor;223605;Fisioterapeuta geral
dm_CBOSmonitor;223605;Fisioterapeuta geral
dm_CBOSmonitor;223615;
dm_CBOSmonitor;223620;Peripatologista
dm_CBOSmonitor;223625;Fisioterapeuta respiratória
dm_CBOSmonitor;223630;Fisioterapeuta neurofuncional
dm_CBOSmonitor;223635;Fisioterapeuta traumato-ortopédica funcional
dm_CBOSmonitor;223640;Fisioterapeuta osteopata
dm_CBOSmonitor;223645;Fisioterapeuta quiropraxista
dm_CBOSmonitor;223650;Fisioterapeuta acupunturista
dm_CBOSmonitor;223655;Fisioterapeuta esportivo
dm_CBOSmonitor;223660;Fisioterapeuta do trabalho
dm_CBOSmonitor;2237;
dm_CBOSmonitor;223705;Dietista
dm_CBOSmonitor;223705;Dietista
dm_CBOSmonitor;223710;Nutricionista
dm_CBOSmonitor;223710;Nutricionista
dm_CBOSmonitor;2238;
dm_CBOSmonitor;223810;Fonoaudiólogo
dm_CBOSmonitor;223810;Fonoaudiólogo
dm_CBOSmonitor;223815;Fonoaudiólogo educacional
dm_CBOSmonitor;223820;Fonoaudiólogo em audiologia
dm_CBOSmonitor;223825;Fonoaudiólogo em disfagia
dm_CBOSmonitor;223830;Fonoaudiólogo em linguagem
dm_CBOSmonitor;223835;Fonoaudiólogo em motricidade orofacial
dm_CBOSmonitor;223840;Fonoaudiólogo em saúde coletiva
dm_CBOSmonitor;223845;Fonoaudiólogo em voz
dm_CBOSmonitor;223905;Terapeuta ocupacional
dm_CBOSmonitor;223910;Ortoptista
dm_CBOSmonitor;224105;Avaliador físico
dm_CBOSmonitor;224110;Ludomotricista
dm_CBOSmonitor;224115;Preparador de atleta
dm_CBOSmonitor;224120;Preparador físico
dm_CBOSmonitor;224125;Técnico de desporto individual e coletivo (exceto futebol)
dm_CBOSmonitor;224130;Técnico de laboratório e fiscalização desportiva
dm_CBOSmonitor;224135;Treinador profissional de futebol
dm_CBOSmonitor;22415;
dm_CBOSmonitor;225103;Médico infectologista
