codigo_tuss;codigo_cbhpm;descricao;porte;custo_operacional_uco;pagina_publicacao
30502349;3.05.02.34-9;Sinusotomia esfenoidal por videoendoscopia;9B;33,800;56
30502357;3.05.02.35-7;Sinusotomia frontal intranasal por videoendoscopia;9B;33,800;56
30600006;3.06.00.00-6;Porte Custo No de Porte Código Procedimentos Oper. Aux. Anest. PAREDE TORÁCICA (3.06.01.00;3C;;57
30601010;3.06.01.01-0;Correção de deformidades da parede torácica;10C;;57
30601029;3.06.01.02-9;Costectomia (porte para 1 arco costal, 30% deste porte para cada arco adicional);8B;;57
30601037;3.06.01.03-7;Esternectomia subtotal;9C;;57
30601045;3.06.01.04-5;Esternectomia total;10B;;57
30601053;3.06.01.05-3;Fechamento de pleurostomia;5B;;57
30601088;3.06.01.08-8;Plumbagem extrafascial;10A;;57
30601096;3.06.01.09-6;Reconstrução da parede torácica (com ou sem prótese);10B;;57
30601100;3.06.01.10-0;Reconstrução da parede torácica com retalhos cutâneos;10A;;57
30601118;3.06.01.11-8;Reconstrução da parede torácica com retalhos musculares ou miocutâneos;10A;;57
30601126;3.06.01.12-6;Reconstrução da região esternal com retalhos musculares bilaterais;10A;;57
30601134;3.06.01.13-4;Ressecção de tumor do diafragma e reconstrução (qualquer técnica);11A;;57
30601142;3.06.01.14-2;Retirada de corpo estranho da parede torácica;7C;;57
30601150;3.06.01.15-0;Toracectomia;10A;;57
30601169;3.06.01.16-9;Toracoplastia (qualquer técnica);10C;;57
30601177;3.06.01.17-7;Toracotomia com biópsia;9A;;57
30601185;3.06.01.18-5;Toracotomia exploradora (excluídos os procedimentos intratorácicos);8B;;57
30601193;3.06.01.19-3;Toracotomia para procedimentos ortopédicos sobre a coluna vertebral;9C;;57
30601207;3.06.01.20-7;Tração esquelética do gradil costo-esternal (traumatismo);9C;;57
30601215;3.06.01.21-5;Tratamento cirúrgico de fraturas do gradil costal;9C;;57
30601231;3.06.01.23-1;Fratura luxação de esterno ou costela - redução incruenta;2B;;57
30601240;3.06.01.24-0;Fratura luxação de esterno ou costela - tratamento cirúrgico..8B - 1 3 3.06.01.07-0 Mobili;10B;;57
30601258;3.06.01.25-8;Osteomielite de costela ou esterno - tratamento cirúrgico;5B;;57
30601266;3.06.01.26-6;Punção biópsia de costela ou esterno;3B;;57
30601274;3.06.01.27-4;Correção de deformidades da parede torácica por vídeo;12A;42,900;57
30601282;3.06.01.28-2;Vídeo para procedimentos sobre a coluna vertebral;11A;38,500;57
30601290;3.06.01.29-0;Ressutura de parede torácica;9C;;57
30602025;3.06.02.02-5;Coleta de fluxo papilar de mama;1A;;58
30602033;3.06.02.03-3;Correção cirúrgica da assimetria mamária;8A;;58
30602041;3.06.02.04-1;Correção de inversão papilar - unilateral;3B;;58
30602050;3.06.02.05-0;Drenagem de abscesso de mama;3A;;58
30602068;3.06.02.06-8;Drenagem e/ou aspiração de seroma;1B;;58
30602076;3.06.02.07-6;Exérese de lesão da mama por marcação estereotáxica ou roll;7C;;58
30602084;3.06.02.08-4;Exérese de mama supra-numerária - unilateral;5A;;58
30602092;3.06.02.09-2;Exérese de nódulo;3C;;58
30602106;3.06.02.10-6;Fistulectomia de mama;5A;;58
30602114;3.06.02.11-4;Ginecomastia - unilateral;7C;;58
30602122;3.06.02.12-2;Correção da hipertrofia mamária - unilateral;9B;;58
30602130;3.06.02.13-0;Linfadenectomia axilar;8B;;58
30602149;3.06.02.14-9;Mastectomia radical ou radical modificada;10A;;58
30602157;3.06.02.15-7;Mastectomia simples;8A;;58
30602165;3.06.02.16-5;Mastectomia subcutânea e inclusão da prótese;10A;;58
30602173;3.06.02.17-3;Mastoplastia em mama oposta após reconstrução da;8A;;58
30602181;3.06.02.18-1;Punção ou biópsia percutânea de agulha fina - por nódulo (máximo de 3 nódulos por mama);3A;;58
30602190;3.06.02.19-0;Quadrantectomia e linfadenectomia axilar;9B;;58
30602203;3.06.02.20-3;Quadrantectomia - Ressecção segmentar;7A;;58
30602211;3.06.02.21-1;Reconstrução da placa aréolo mamilar - unilateral;5A;;58
30602238;3.06.02.23-8;Reconstrução mamária com retalho muscular ou miocutâneo - unilateral;10A;;58
30602246;3.06.02.24-6;Reconstrução mamária com retalhos cutâneos regionais;9C;;58
30602254;3.06.02.25-4;Reconstrução parcial da mama pós-quadrantectomia;8A;;58
30602262;3.06.02.26-2;Reconstrução da mama com prótese e/ou expansor;9C;;58
30602289;3.06.02.28-9;Ressecção do linfonodo sentinela / torácica lateral;6C;;58
30602297;3.06.02.29-7;Ressecção do linfonodo sentinela / torácica medial;6C;;58
30602300;3.06.02.30-0;Ressecção dos ductos principais da mama - unilateral 3.06.02.31-9 Retirada da válvula após;5B;;58
30602327;3.06.02.32-7;Substituição de prótese;4C;;58
30700000;3.07.00.00-0;Porte Custo No de Porte Código Procedimentos Oper. Aux. Anest. TRANSPLANTES CUTÂNEOS (COM;12C;;59
30701023;3.07.01.02-3;Antebraço;13A;;59
30701031;3.07.01.03-1;Axilar;12C;;59
30701040;3.07.01.04-0;Couro cabeludo;12C;;59
30701058;3.07.01.05-8;Deltopeitoral;12C;;59
30701066;3.07.01.06-6;Digitais (da face volar e látero-cubital dos dedos médio e anular da mão);12C;;59
30701074;3.07.01.07-4;Digital do hallux;12B;;59
30701082;3.07.01.08-2;Dorsal do pé;12C;;59
30701090;3.07.01.09-0;Escapular;12C;;59
30701104;3.07.01.10-4;Femoral;12B;;59
30701112;3.07.01.11-2;Fossa poplítea;12B;;59
30701120;3.07.01.12-0;Inguino-cural;12C;;59
30701139;3.07.01.13-9;Intercostal;12B;;59
30701147;3.07.01.14-7;Interdigital da 1a comissura dos dedos do pé;12B;;59
30701155;3.07.01.15-5;Outros transplantes cutâneos;12B;;59
30701163;3.07.01.16-3;Paraescapular;12B;;59
30701171;3.07.01.17-1;Retroauricular;12C;;59
30701180;3.07.01.18-0;Temporal;12C;;59
30701198;3.07.01.19-8;Transplante cutâneo com microanastomose;13A;;59
30701201;3.07.01.20-1;Transplante cutâneo sem microanastomose, ilha neurovascular;8B;;59
30701210;3.07.01.21-0;Transplante miocutâneo com microanastomose;13A;;59
30702003;3.07.02.00-3;3.07.02.01-1 Grande dorsal (latissimus dorsi);12C;;59
30702020;3.07.02.02-0;Grande glúteo (gluteus maximus);12B;;59
30702038;3.07.02.03-8;Outros transplantes músculo-cutâneos;12B;;59
30702046;3.07.02.04-6;Reto abdominal (rectus abdominis);12C;;59
30702054;3.07.02.05-4;Reto interno (gracilis);12C;;59
30702062;3.07.02.06-2;Serrato maior (serratus);12C;;59
30702070;3.07.02.07-0;Tensor da fascia lata (tensor fascia lata);12C;;59
30702089;3.07.02.08-9;Trapézio (trapezius);12B;;59
30703026;3.07.03.02-6;Extensor comum dos dedos (extensor digitorum longus);10A;;60
30703034;3.07.03.03-4;Extensor próprio do dedo gordo (extensor hallucis longus);9C;;60
30703042;3.07.03.04-2;Flexor curto plantar (flexor digitorum brevis);12A;;60
30703050;3.07.03.05-0;Grande dorsal (latissimus dorsi);12B;;60
30703069;3.07.03.06-9;Grande peitoral (pectoralis major);12B;;60
30703077;3.07.03.07-7;Músculo pédio (extensor digitorum brevis);12B;;60
30703085;3.07.03.08-5;Os músculos latissimus dorsi, gracilis, rectus femoris, tensor fascia lata,flexor digitoru;3B;;60
30703093;3.07.03.09-3;Outros transplantes musculares;12B;;60
30703107;3.07.03.10-7;Primeiro radial externo (extensor carpi radialis longus);12B;;60
30703115;3.07.03.11-5;Reto anterior (rectus femoris);12C;;60
30703123;3.07.03.12-3;Reto interno (gracilis);12C;;60
30703131;3.07.03.13-1;Sartório (sartorius);12C;;60
30703140;3.07.03.14-0;Semimembranoso (semimembranosus);12C;;60
30703158;3.07.03.15-8;Semitendinoso (semitendinosus);12C;;60
30703166;3.07.03.16-6;Serrato maior (serratus);12C;;60
30703174;3.07.03.17-4;Supinador longo (brachioradialis);12B;;60
30703182;3.07.03.18-2;Tensor da fascia lata (tensor fascia lata);12C;;60
30704014;3.07.04.01-4;Costela;12C;;60
30704022;3.07.04.02-2;Ilíaco;12C;;60
30704030;3.07.04.03-0;Osteocutâneo de ilíaco;12C;;60
30704049;3.07.04.04-9;Osteocutâneos de costela;13A;;60
30704057;3.07.04.05-7;Osteomusculocutâneo de costela;13A;;60
30704065;3.07.04.06-5;Outros transplantes ósseos e osteomusculocutâneos;13A;;60
30704073;3.07.04.07-3;Perônio ou fíbula;13A;;60
30704081;3.07.04.08-1;Transplante ósseo vascularizado (microanastomose);13A;;60
30705029;3.07.05.02-9;Autotransplante de dois retalhos cutâneos combinados, isolados e associados entre si, liga;13A;;61
30705037;3.07.05.03-7;Autotransplante de dois retalhos, um cutâneo combinado a um muscular, isolados e associado;13A;;61
30705045;3.07.05.04-5;Autotransplante de dois retalhos, um cutâneo combinado a retalho osteomuscular, isolados e;13A;;61
30705053;3.07.05.05-3;Autotransplante de epiplon;13A;;61
30705061;3.07.05.06-1;Autotransplante de outros retalhos, isolados entre si, e associados mediante um único pedí;13A;;61
30705070;3.07.05.07-0;Autotransplante de três retalhos, um cutâneo separado, combinado a outros dois retalhos mu;13A;;61
30705100;3.07.05.10-0;Reimplante de segmentos distais do membro superior, com ressecção segmentar;13A;;61
30706017;3.07.06.01-7;Reimplante do membro inferior do nível médio proximal da perna até a coxa;13A;;61
30706025;3.07.06.02-5;Reimplante do membro inferior do pé até o terço médio da perna;13A;;61
30706033;3.07.06.03-3;Reimplante do membro superior, do nível médio do antebraço até o ombro;13A;;61
30707021;3.07.07.02-1;Transplante de 2º pododáctilo para mão;13A;;62
30707030;3.07.07.03-0;Transplante de dedos do pé para a mão;13A;;62
30707048;3.07.07.04-8;Transplante do 2º Pododáctilo para o polegar;13A;;62
30707056;3.07.07.05-6;Transplante do hallux para polegar;13A;;62
30707064;3.07.07.06-4;Transplante de dois pododáctilos para a mão;13A;;62
30709016;3.07.09.01-6;Instalação de halo craniano;3A;;62
30709024;3.07.09.02-4;Tração cutânea;1B;;62
30709032;3.07.09.03-2;Tração transesquelética (por membro);2A;;62
30710014;3.07.10.01-4;Fios ou pinos metálicos transósseos;3B;;62
30710022;3.07.10.02-2;Fios, pinos, parafusos ou hastes metálicas intra-ósseas;3B;;62
30710030;3.07.10.03-0;Placas;3C;;62
30710049;3.07.10.04-9;Próteses de substituição de pequenas articulações;6A;;62
30710057;3.07.10.05-7;Retirada de fixadores externos;3B;;62
30711010;3.07.11.01-0;Imobilizações não-gessadas (qualquer segmento);1A;;62
30711029;3.07.11.02-9;Membro inferior;1B;;62
30711037;3.07.11.03-7;Membro superior;1A;;62
30712017;3.07.12.01-7;Áxilo-palmar ou pendente;1B;;62
30712025;3.07.12.02-5;Bota com ou sem salto;1B;;62
30712033;3.07.12.03-3;Colar;1B;;62
30712041;3.07.12.04-1;Colete;1C;;62
30712050;3.07.12.05-0;Cruro-podálico;1C;;62
30712068;3.07.12.06-8;Dupla abdução ou Ducroquet;1C;;62
30712076;3.07.12.07-6;Halo-gesso;4A;;62
30712084;3.07.12.08-4;Inguino-maleolar;1C;;62
30712092;3.07.12.09-2;Luva;1B;;62
30712106;3.07.12.10-6;Minerva ou Risser para escoliose;2C;;62
30712114;3.07.12.11-4;Pelvipodálico;2C;;62
30712130;3.07.12.13-0;Tipo Velpeau;1C;;63
30712149;3.07.12.14-9;Tóraco-braquial;2C;;63
30713021;3.07.13.02-1;Biópsia óssea;2B;;63
30713030;3.07.13.03-0;Biópsias percutânea sinovial ou de tecidos moles;2B;;63
30713048;3.07.13.04-8;Enxertos em outras pseudartroses;7C;;63
30713064;3.07.13.06-4;Manipulação articular sob anestesia geral;3B;;63
30713072;3.07.13.07-2;Retirada de enxerto ósseo;3B;;63
30713137;3.07.13.13-7;Punção articular diagnóstica ou terapêutica (infiltração). Quando orientada por RX, US, TC;2A;;63
30713145;3.07.13.14-5;Punção extra-articular diagnóstica ou terapêutica (infiltração/agulhamento seco). Quando o;2A;;63
30714010;3.07.14.01-0;Corpo estranho intra-articular - tratamento cirúrgico;3C;;63
30714028;3.07.14.02-8;Corpo estranho intra-ósseo - tratamento cirúrgico;3C;;63
30714036;3.07.14.03-6;Corpo estranho intramuscular - tratamento cirúrgico;3C;;63
30715016;3.07.15.01-6;Artrodese da coluna c/ instrumentação por segmento;10B;;63
30715024;3.07.15.02-4;Artrodese de coluna via anterior ou póstero lateral - tratamento cirúrgico;10B;;63
30715032;3.07.15.03-2;Biópsia da coluna;5B;;63
30715040;3.07.15.04-0;Biópsia de corpo vertebral com agulha;3B;;63
30715059;3.07.15.05-9;Cirurgia de coluna por via endoscópica;11A;;63
30715067;3.07.15.06-7;Cordotomia - mielotomia;10B;;63
30715075;3.07.15.07-5;Costela cervical - tratamento cirúrgico;8B;;63
30715083;3.07.15.08-3;Derivação lombar externa;6A;;63
30715091;3.07.15.09-1;Descompressão medular e/ou cauda equina;9C;;63
30715105;3.07.15.10-5;Dorso curvo / escoliose / giba costal - tratamento cirúrgico ..11A - 2 6 3.07.15.11-3 Espo;10A;;63
30715130;3.07.15.13-0;Fratura do cóccix - redução incruenta;3A;;63
30715148;3.07.15.14-8;Fratura do cóccix - tratamento cirúrgico;7C;;63
30715172;3.07.15.17-2;Hemivértebra - ressecção via anterior ou posterior - tratamento cirúrgico;9A;;64
30715180;3.07.15.18-0;Hérnia de disco tóraco-lombar - tratamento cirúrgico;9C;;64
30715199;3.07.15.19-9;Laminectomia por segmento (aracnoidite, abscesso epidural);9C;;64
30715210;3.07.15.21-0;Osteomielite de coluna - tratamento cirúrgico;8B;;64
30715229;3.07.15.22-9;Osteotomia de coluna vertebral - tratamento cirúrgico;8C;;64
30715237;3.07.15.23-7;Outras afecções da coluna - tratamento incruento;3B;;64
30715245;3.07.15.24-5;Pseudartrose de coluna - tratamento cirúrgico;9C;;64
30715253;3.07.15.25-3;Punção liquórica;2B;;64
30715261;3.07.15.26-1;Retirada de corpo estranho - tratamento cirúrgico;8B;;64
30715270;3.07.15.27-0;Retirada de material de síntese - tratamento cirúrgico;8A;;64
30715288;3.07.15.28-8;Substituição de corpo vertebral;10B;;64
30715296;3.07.15.29-6;Tração cervical transesquelética;8B;;64
30715300;3.07.15.30-0;Tratamento cirúrgico da cifose infantil;11B;;64
30715318;3.07.15.31-8;Tratamento cirúrgico da lesão traumática raquimedular;11B;;64
30715326;3.07.15.32-6;Tratamento cirúrgico das malformações craniovertebrais;10B;;64
30715334;3.07.15.33-4;Tratamento cirúrgico do disrafismo;10B;;64
30715342;3.07.15.34-2;Tratamento conservador do traumatismo raquimedular (por dia);3C;;64
30715350;3.07.15.35-0;Tratamento microcirúrgico das lesões intramedulares (tumor, malformações arteriovenosas, s;13B;;64
30715369;3.07.15.36-9;Tratamento microcirúrgico do canal vertebral estreito por segmento;9C;;64
30715377;3.07.15.37-7;Tratamento pré-natal dos disrafismos espinhais;9A;;64
30715385;3.07.15.38-5;Tumor ósseo vertebral - ressecção com substituição com ou sem instrumentação - tratamento;10B;;64
30715393;3.07.15.39-3;Hérnia de disco cervical - tratamento cirúrgico;10C;;64
30717019;3.07.17.01-9;Artrodese ao nível do ombro - tratamento cirúrgico;8B;;64
30717027;3.07.17.02-7;Artroplastia escápulo umeral com implante - tratamento cirúrgico;10A;;64
30717035;3.07.17.03-5;Artrotomia glenoumeral - tratamento cirúrgico;6A;;64
30717043;3.07.17.04-3;Biópsia cirúrgica da cintura escapular;3C;;64
30717060;3.07.17.06-0;Desarticulação ao nível do ombro - tratamento cirúrgico;9A;;65
30717078;3.07.17.07-8;Escápula em ressalto - tratamento cirúrgico;7A;;65
30717094;3.07.17.09-4;Fraturas e/ou luxações e/ou avulsões - redução incruenta;3A;;65
30717108;3.07.17.10-8;Fraturas e/ou luxações e/ou avulsões - tratamento cirúrgico;7C;;65
30717116;3.07.17.11-6;Luxações crônicas inveteradas e recidivantes - tratamento cirúrgico;8C;;65
30717124;3.07.17.12-4;Osteomielite ao nível da cintura escapular - tratamento cirúrgico;6C;;65
30717132;3.07.17.13-2;Pseudartroses e/ou osteotomias da cintura escapular - tratamento cirúrgico;8C;;65
30717140;3.07.17.14-0;Ressecção parcial ou total de clavícula - tratamento cirúrgico;8A;;65
30717159;3.07.17.15-9;Revisão cirúrgica de prótese de ombro;11A;;65
30717167;3.07.17.16-7;Transferências musculares ao nível do ombro - tratamento cirúrgico;7C;;65
30718015;3.07.18.01-5;Amputação ao nível do braço - tratamento cirúrgico;8A;;65
30718023;3.07.18.02-3;Biópsia cirúrgica do úmero;5B;;65
30718031;3.07.18.03-1;Fixador externo dinâmico com ou sem alongamento - tratamento cirúrgico;8B;;65
30718040;3.07.18.04-0;Fratura (incluindo descolamento epifisário) - redução incruenta;3B;;65
30718058;3.07.18.05-8;Fratura (incluindo descolamento epifisário) - tratamento cirúrgico;8C;;65
30718074;3.07.18.07-4;Fraturas e pseudartroses - fixador externo - tratamento cirúrgico;7A;;65
30718082;3.07.18.08-2;Osteomielite de úmero - tratamento cirúrgico;8A;;65
30718090;3.07.18.09-0;Pseudartroses, osteotomias, alongamentos/encurtamentos - tratamento cirúrgico;9A;;65
30719011;3.07.19.01-1;Artrodese - tratamento cirúrgico;8B;;65
30719020;3.07.19.02-0;Artroplastia com implante - tratamento cirúrgico;8B;;65
30719038;3.07.19.03-8;Artroplastias sem implante - tratamento cirúrgico;6A;;65
30719054;3.07.19.05-4;Biópsia cirúrgica de cotovelo;3B;;66
30719062;3.07.19.06-2;Desarticulação ao nível do cotovelo - tratamento cirúrgico;8B;;66
30719089;3.07.19.08-9;Fraturas / pseudartroses / artroses / com fixador externo dinâmico - tratamento cirúrgico;7A;;66
30719097;3.07.19.09-7;Fraturas e ou luxações - redução incruenta;4A;;66
30719100;3.07.19.10-0;Fraturas e ou luxações - tratamento cirúrgico;7C;;66
30719119;3.07.19.11-9;Lesões ligamentares - redução incruenta;3A;;66
30719127;3.07.19.12-7;Tendinites, sinovites e artrites - tratamento cirúrgico;4B;;66
30719135;3.07.19.13-5;Artrodiastase - tratamento cirúrgico com fixador externo;7C;;65
30720010;3.07.20.01-0;Abaixamento miotendinoso no antebraço;6A;;66
30720028;3.07.20.02-8;Alongamento dos ossos do antebraço com fixador externo dinâmico - tratamento cirúrgico;7C;;66
30720036;3.07.20.03-6;Amputação ao nível do antebraço - tratamento cirúrgico;8B;;66
30720044;3.07.20.04-4;Biópsia cirúrgica do antebraço;3B;;66
30720052;3.07.20.05-2;Contratura isquêmica de Volkmann - tratamento cirúrgico;8A;;66
30720060;3.07.20.06-0;Correção de deformidade adquirida de antebraço com fixador externo;6A;;66
30720079;3.07.20.07-9;Encurtamento segmentar dos ossos do antebraço com osteossíntese - tratamento cirúrgico;6A;;66
30720095;3.07.20.09-5;Fratura e/ou luxações (incluindo descolamento epifisário cotovelo-punho) - tratamento cirú;6C;;66
30720109;3.07.20.10-9;Fratura e/ou luxações (incluindo descolamento epifisário) - redução incruenta;4A;;66
30720117;3.07.20.11-7;Fratura viciosamente consolidada de antebraço - tratamento cirúrgico;7C;;66
30720125;3.07.20.12-5;Osteomielite dos ossos do antebraço - tratamento cirúrgico;5B;;66
30720133;3.07.20.13-3;Pseudartroses e ou osteotomias - tratamento cirúrgico;7C;;66
30720141;3.07.20.14-1;Ressecção da cabeça do rádio e/ ou da extremidade distal ulna - tratamento cirúrgico;4C;;66
30720150;3.07.20.15-0;Ressecção do processo estilóide do rádio - tratamento cirúrgico;4C;;66
30720168;3.07.20.16-8;Sinostose rádio-ulnar - tratamento cirúrgico;6A;;66
30720176;3.07.20.17-6;Tratamento cirúrgico de fraturas com fixador externo;6A;;66
30721024;3.07.21.02-4;Alongamento do rádio/ulna - tratamento cirúrgico;8B;;67
30721032;3.07.21.03-2;Artrodese entre os ossos do carpo;4C;;67
30721040;3.07.21.04-0;Artrodese - fixador externo;6A;;67
30721059;3.07.21.05-9;Artrodese rádio-cárpica ou do punho;7C;;67
30721067;3.07.21.06-7;Artroplastia do punho (com implante) - tratamento cirúrgico;8C;;67
30721075;3.07.21.07-5;Artroplastia para ossos do carpo (com implante) - tratamento cirúrgico;8B;;67
30721083;3.07.21.08-3;Artrotomia - tratamento cirúrgico;3C;;67
30721091;3.07.21.09-1;Biópsia cirúrgica de punho;3B;;67
30721105;3.07.21.10-5;Coto de amputação punho e antebraço - revisão;3C;;67
30721113;3.07.21.11-3;Desarticulação do punho - tratamento cirúrgico;6C;;67
30721121;3.07.21.12-1;Encurtamento rádio/ulnar;8B;;67
30721148;3.07.21.14-8;Fratura de osso do carpo - redução cirúrgica;4C;;67
30721156;3.07.21.15-6;Fratura do carpo - redução incruenta;2C;;67
30721164;3.07.21.16-4;Fraturas - fixador externo;6A;;67
30721180;3.07.21.18-0;Fraturas e/ou luxações do punho - redução incruenta;4A;;67
30721199;3.07.21.19-9;Fraturas e/ou luxações do punho - tratamento cirúrgico;6C;;67
30721202;3.07.21.20-2;Luxação do carpo - redução incruenta;2B;;67
30721210;3.07.21.21-0;Pseudartroses - tratamento cirúrgico;7B;;67
30721229;3.07.21.22-9;Ressecção de osso do carpo - tratamento cirúrgico;5B;;67
30721237;3.07.21.23-7;Reparação ligamentar do carpo;5B;;67
30721245;3.07.21.24-5;Sinovectomia de punho - tratamento cirúrgico;5B;;67
30721253;3.07.21.25-3;Transposição do rádio para ulna;9A;;67
30722012;3.07.22.01-2;Abscesso de mão e dedos - tenossinovites / espaços palmares / dorsais e comissurais - trat;3A;;67
30722039;3.07.22.03-9;Abscessos de dedo (drenagem) - tratamento cirúrgico;2B;;67
30722047;3.07.22.04-7;Alongamento/transporte ósseo com fixador externo;5A;;67
30722055;3.07.22.05-5;Alongamentos tendinosos de mão;4C;;67
30722063;3.07.22.06-3;Amputação ao nível dos metacarpianos - tratamento cirúrgico;5B;;67
30722071;3.07.22.07-1;Amputação de dedo (cada) - tratamento cirúrgico;3B;;67
30722080;3.07.22.08-0;Amputação transmetacarpiana;5B;;67
30722098;3.07.22.09-8;Amputação transmetacarpiana com transposição de dedo;6A;;67
30722101;3.07.22.10-1;Aponevrose palmar (ressecção) - tratamento cirúrgico;5B;;67
30722128;3.07.22.12-8;Artroplastia com implante na mão (MF e IF) múltipla;9B;;68
30722136;3.07.22.13-6;Artroplastia com implante na mão (MF ou IF);9B;;68
30722144;3.07.22.14-4;Artroplastia interfalangeana / metacarpofalangeana - tratamento cirúrgico;7C;;68
30722152;3.07.22.15-2;Artrotomia ao nível da mão - tratamento cirúrgico;3A;;68
30722160;3.07.22.16-0;Biópsia cirúrgica dos ossos da mão;3B;;68
30722179;3.07.22.17-9;Bridas congênitas - tratamento cirúrgico;5B;;68
30722209;3.07.22.20-9;Capsulectomias múltiplas MF ou IF;5B;;68
30722217;3.07.22.21-7;Capsulectomias única MF e IF;3C;;68
30722225;3.07.22.22-5;Centralização da ulna (tratamento da mão torta radial);8B;;68
30722233;3.07.22.23-3;Contratura isquêmica de mão - tratamento cirúrgico;6A;;68
30722241;3.07.22.24-1;Coto de amputação digital - revisão;3B;;68
30722250;3.07.22.25-0;Dedo colo de cisne - tratamento cirúrgico;5B;;68
30722268;3.07.22.26-8;Dedo em botoeira - tratamento cirúrgico;5B;;68
30722276;3.07.22.27-6;Dedo em gatilho, capsulotomia / fasciotomia - tratamento cirúrgico;3C;;68
30722284;3.07.22.28-4;Dedo em martelo - tratamento cirúrgico;4C;;68
30722306;3.07.22.30-6;Enxerto ósseo (perda de substância) - tratamento cirúrgico;6A;;68
30722314;3.07.22.31-4;Exploração cirúrgica de tendão de mão;2B;;68
30722322;3.07.22.32-2;Falangização;9A;;68
30722330;3.07.22.33-0;Fixador externo em cirurgia da mão;4C;;68
30722357;3.07.22.35-7;Fratura de Bennett - redução incruenta;1B;;68
30722365;3.07.22.36-5;Fratura de Bennett - tratamento cirúrgico;4C;;68
30722390;3.07.22.39-0;Fratura/artrodese com fixador externo;3C;;68
30722403;3.07.22.40-3;Fraturas de falanges ou metacarpianos - redução incruenta;1C;;68
30722411;3.07.22.41-1;Fraturas de falanges ou metacarpianos - tratamento cirúrgico c/ fixação;4C;;68
30722420;3.07.22.42-0;Fraturas e/ou luxações de falanges (interfalangeanas) - redução incruenta;2B;;68
30722438;3.07.22.43-8;Fraturas e/ou luxações de falanges (interfalangeanas) - tratamento cirúrgico;4C;;68
30722446;3.07.22.44-6;Fraturas e/ou luxações de metacarpianos - redução incruenta;2B;;68
30722454;3.07.22.45-4;Gigantismo ao nível da mão - tratamento cirúrgico;9A;;68
30722470;3.07.22.47-0;Lesões ligamentares crônicas da mão - reparação cirúrgica;5B;;69
30722489;3.07.22.48-9;Ligamentoplastia com âncora;6A;;69
30722497;3.07.22.49-7;Luxação metacarpofalangeana - redução incruenta;2C;;69
30722500;3.07.22.50-0;Luxação metacarpofalangeana - tratamento cirúrgico;3C;;69
30722519;3.07.22.51-9;Osteomielite ao nível da mão - tratamento cirúrgico;3B;;69
30722527;3.07.22.52-7;Osteossíntese de fratura de falange e metacarpeana com fixação externa;5B;;69
30722535;3.07.22.53-5;Osteossíntese de fratura de falange e metacarpeana com uso de miniparafuso;5B;;69
30722543;3.07.22.54-3;Perda de substância da mão (reparação) - tratamento cirúrgico;3C;;69
30722551;3.07.22.55-1;Plástica ungueal;4C;;69
30722560;3.07.22.56-0;Policização ou transferência digital;9A;;69
30722578;3.07.22.57-8;Polidactilia articulada - tratamento cirúrgico;4C;;69
30722586;3.07.22.58-6;Polidactilia não articulada - tratamento cirúrgico;3A;;69
30722594;3.07.22.59-4;Prótese (implante) para ossos do carpo;6A;;69
30722608;3.07.22.60-8;Pseudartrose com perda de substâncias de metacarpiano e falanges;6A;;69
30722616;3.07.22.61-6;Pseudartrose do escafóide - tratamento cirúrgico;8A;;69
30722624;3.07.22.62-4;Pseudartrose dos ossos da mão - tratamento cirúrgico;3C;;69
30722632;3.07.22.63-2;Reconstrução da falange com retalho homodigital;9B;;69
30722640;3.07.22.64-0;Reconstrução de leito ungueal;5B;;69
30722659;3.07.22.65-9;Reconstrução do polegar com retalho ilhado osteocutâneo antebraquial;10A;;69
30722667;3.07.22.66-7;Reimplante de dois dedos da mão (por cada dedo adicional reimplantado será adicionado o po;13A;;69
30722675;3.07.22.67-5;Reimplante do membro superior nível transmetacarpiano até o terço distal do antebraço;13A;;69
30722683;3.07.22.68-3;Reimplante do polegar;13A;;69
30722691;3.07.22.69-1;Reparações cutâneas com retalho ilhado antebraquial invertido;9B;;69
30722705;3.07.22.70-5;Ressecção 1ª fileira dos ossos do carpo;6A;;69
30722713;3.07.22.71-3;Ressecção de cisto sinovial;3B;;69
30722721;3.07.22.72-1;Retração cicatricial de mais de um dedo, sem comprometimento tendinoso - tratamento cirúrg;5A;;69
30722730;3.07.22.73-0;Retração cicatricial de um dedo sem comprometimento tendinoso - tratamento cirúrgico;3C;;69
30722756;3.07.22.75-6;Revascularização do polegar ou outro dedo (por cada dedo adicional revascularizado será ad;13A;;70
30722764;3.07.22.76-4;Roturas do aparelho extensor de dedo - redução incruenta;1C;;70
30722772;3.07.22.77-2;Roturas tendino-ligamentares da mão (mais que 1) - tratamento cirúrgico;3C;;70
30722780;3.07.22.78-0;Sequestrectomias;2B;;70
30722799;3.07.22.79-9;Sindactilia de 2 dígitos - tratamento cirúrgico;5B;;70
30722802;3.07.22.80-2;Sindactilia múltipla - tratamento cirúrgico;8B;;70
30722810;3.07.22.81-0;Sinovectomia da mão (1 articulação);3A;;70
30722829;3.07.22.82-9;Sinovectomia da mão (múltiplas);5B;;70
30722845;3.07.22.84-5;Transposição de dedo - tratamento cirúrgico;9A;;70
30722853;3.07.22.85-3;Tratamento cirúrgico da polidactilia múltipla e/ou complexa;9B;;70
